Cab_App_Type,Source,Destination,Price,Availability,Cab_Type,,,,
Rapido,saidapet,coimbatore,450,5,cab,,,,
ola,nungambakkam,pallikaranai,720,2,Auto,,,,
ola,nungambakkam,pallikaranai,480,1,bike,,,,
ola,nungambakkam,pallikaranai,912,3,Mini,,,,
ola,nungambakkam,pallikaranai,1232,2,Prime sedan,,,,
Uber,nungambakkam,pallikaranai,600,1,Auto,,,,
Uber,nungambakkam,pallikaranai,482,2,bike,,,,
Uber,nungambakkam,pallikaranai,496,5,Uber Go ,,,,
Uber,nungambakkam,pallikaranai,842,8, Uber XL,,,,
Rapido,nungambakkam,pallikaranai,361,1,Auto,,,,
Rapido,nungambakkam,pallikaranai,237,2,Bike,,,,
Rapido,nungambakkam,pallikaranai,452,3,cab,,,,
ola,vadapalani,tambaram,1204,1,Auto,,,,
ola,vadapalani,tambaram,912,2,bike,,,,
ola,vadapalani,tambaram,1512,1,Mini,,,,
ola,vadapalani,tambaram,1742,6,Prime sedan,,,,
Uber,vadapalani,tambaram,1080,1,Auto,,,,
Uber,vadapalani,tambaram,900,2,bike,,,,
Uber,vadapalani,tambaram,923,6,Uber Go ,,,,
Uber,vadapalani,tambaram,1500,8, Uber XL,,,,
Rapido,vadapalani,tambaram,303,5,Auto,,,,
Rapido,vadapalani,tambaram,235,2,Bike,,,,
Rapido,vadapalani,tambaram,493,1,cab,,,,
ola,egmore museum,royapettah,420,2,Auto,,,,
ola,egmore museum,royapettah,300,3,bike,,,,
ola,egmore museum,royapettah,540,1,Mini,,,,
ola,egmore museum,royapettah,840,5,Prime sedan,,,,
Uber,egmore museum,royapettah,362,2,Auto,,,,
Uber,egmore museum,royapettah,240,1,bike,,,,
Uber,egmore museum,royapettah,245,4,Uber Go ,,,,
Uber,egmore museum,royapettah,600,6, Uber XL,,,,
Rapido,egmore museum,royapettah,92,1,Auto,,,,
Rapido,egmore museum,royapettah,38,1,Bike,,,,
Rapido,egmore museum,royapettah,125,3,cab,,,,
ola,chennai central,kilpauk,541,1,Auto,,,,
ola,chennai central,kilpauk,423,2,bike,,,,
ola,chennai central,kilpauk,665,5,Mini,,,,
ola,chennai central,kilpauk,960,6,Prime sedan,,,,
Uber,chennai central,kilpauk,480,1,Auto,,,,
Uber,chennai central,kilpauk,362,2,bike,,,,
Uber,chennai central,kilpauk,374,1,Uber Go ,,,,
Uber,chennai central,kilpauk,782,3, Uber XL,,,,
Rapido,chennai central,kilpauk,106,2,Auto,,,,
Rapido,chennai central,kilpauk,42,1,Bike,,,,
Rapido,chennai central,kilpauk,140,2,cab,,,,
ola,thoudsand lights,perungudi,735,1,Auto,,,,
ola,thoudsand lights,perungudi,569,1,bike,,,,
ola,thoudsand lights,perungudi,748,3,Mini,,,,
ola,thoudsand lights,perungudi,812,5,Prime sedan,,,,
Uber,thoudsand lights,perungudi,720,2,Auto,,,,
Uber,thoudsand lights,perungudi,542,1,bike,,,,
Uber,thoudsand lights,perungudi,554,6,Uber Go ,,,,
Uber,thoudsand lights,perungudi,1082,7, Uber XL,,,,
Rapido,thoudsand lights,perungudi,208,1,Auto,,,,
Rapido,thoudsand lights,perungudi,161,1,Bike,,,,
Rapido,thoudsand lights,perungudi,32,3,cab,,,,
ola,parrys corner,madipakkam,963,1,Auto,,,,
ola,parrys corner,madipakkam,720,2,bike,,,,
ola,parrys corner,madipakkam,1080,1,Mini,,,,
ola,parrys corner,madipakkam,1442,4,Prime sedan,,,,
Uber,parrys corner,madipakkam,842,1,Auto,,,,
Uber,parrys corner,madipakkam,662,2,bike,,,,
Uber,parrys corner,madipakkam,685,3,Uber Go ,,,,
Uber,parrys corner,madipakkam,1262,2, Uber XL,,,,
Rapido,parrys corner,madipakkam,348,1,Auto,,,,
Rapido,parrys corner,madipakkam,228,2,Bike,,,,
Rapido,parrys corner,madipakkam,507,5,cab,,,,
ola, egmore museum,porur,842,2,Auto,,,,
ola, egmore museum,porur,542,1,bike,,,,
ola, egmore museum,porur,955,3,Mini,,,,
ola, egmore museum,porur,1320,2,Prime sedan,,,,
Uber, egmore museum,porur,724,1,Auto,,,,
Uber, egmore museum,porur,541,2,bike,,,,
Uber, egmore museum,porur,572,5,Uber Go ,,,,
Uber, egmore museum,porur,1080,8, Uber XL,,,,
Rapido, egmore museum,porur,260,1,Auto,,,,
Rapido, egmore museum,porur,172,2,Bike,,,,
Rapido, egmore museum,porur,381,3,cab,,,,
ola,anna university,adambakkam,854,1,Auto,,,,
ola,anna university,adambakkam,721,2,bike,,,,
ola,anna university,adambakkam,1241,1,Mini,,,,
ola,anna university,adambakkam,1574,6,Prime sedan,,,,
Uber,anna university,adambakkam,782,1,Auto,,,,
Uber,anna university,adambakkam,612,2,bike,,,,
Uber,anna university,adambakkam,752,6,Uber Go ,,,,
Uber,anna university,adambakkam,1220,8, Uber XL,,,,
Rapido,anna university,adambakkam,160,5,Auto,,,,
Rapido,anna university,adambakkam,53,2,Bike,,,,
Rapido,anna university,adambakkam,179,1,cab,,,,
ola,thiruvallikeni,chrompet,135,2,Auto,,,,
ola,thiruvallikeni,chrompet,123,3,bike,,,,
ola,thiruvallikeni,chrompet,254,1,Mini,,,,
ola,thiruvallikeni,chrompet,298,5,Prime sedan,,,,
Uber,thiruvallikeni,chrompet,84,2,Auto,,,,
Uber,thiruvallikeni,chrompet,68,1,bike,,,,
Uber,thiruvallikeni,chrompet,120,4,Uber Go ,,,,
Uber,thiruvallikeni,chrompet,215,6, Uber XL,,,,
Rapido,thiruvallikeni,chrompet,81,1,Auto,,,,
Rapido,thiruvallikeni,chrompet,64,1,Bike,,,,
Rapido,thiruvallikeni,chrompet,159,3,cab,,,,
ola,T.nagar bus stop,kodambakkam,112,1,Auto,,,,
ola,T.nagar bus stop,kodambakkam,69,2,bike,,,,
ola,T.nagar bus stop,kodambakkam,159,5,Mini,,,,
ola,T.nagar bus stop,kodambakkam,244,6,Prime sedan,,,,
Uber,T.nagar bus stop,kodambakkam,66,1,Auto,,,,
Uber,T.nagar bus stop,kodambakkam,58,2,bike,,,,
Uber,T.nagar bus stop,kodambakkam,89,1,Uber Go ,,,,
Uber,T.nagar bus stop,kodambakkam,152,3, Uber XL,,,,
Rapido,T.nagar bus stop,kodambakkam,80,2,Auto,,,,
Rapido,T.nagar bus stop,kodambakkam,46,1,Bike,,,,
Rapido,T.nagar bus stop,kodambakkam,132,2,cab,,,,
ola,guindy national park,thoraipakkam,185,1,Auto,,,,
ola,guindy national park,thoraipakkam,120,1,bike,,,,
ola,guindy national park,thoraipakkam,285,3,Mini,,,,
ola,guindy national park,thoraipakkam,329,5,Prime sedan,,,,
Uber,guindy national park,thoraipakkam,122,2,Auto,,,,
Uber,guindy national park,thoraipakkam,109,1,bike,,,,
Uber,guindy national park,thoraipakkam,152,6,Uber Go ,,,,
Uber,guindy national park,thoraipakkam,257,7, Uber XL,,,,
Rapido,guindy national park,thoraipakkam,57,1,Auto,,,,
Rapido,guindy national park,thoraipakkam,45,1,Bike,,,,
Rapido,guindy national park,thoraipakkam,135,3,cab,,,,
ola,saidapet court,anna salai,129,1,Auto,,,,
ola,saidapet court,anna salai,87,2,bike,,,,
ola,saidapet court,anna salai,241,1,Mini,,,,
ola,saidapet court,anna salai,265,4,Prime sedan,,,,
Uber,saidapet court,anna salai,87,1,Auto,,,,
Uber,saidapet court,anna salai,68,2,bike,,,,
Uber,saidapet court,anna salai,104,3,Uber Go ,,,,
Uber,saidapet court,anna salai,219,2, Uber XL,,,,
Rapido,saidapet court,anna salai,69,1,Auto,,,,
Rapido,saidapet court,anna salai,57,2,Bike,,,,
Rapido,saidapet court,anna salai,128,5,cab,,,,
ola,marina beach,pallavaram,186,2,Auto,,,,
ola,marina beach,pallavaram,154,1,bike,,,,
ola,marina beach,pallavaram,321,3,Mini,,,,
ola,marina beach,pallavaram,352,2,Prime sedan,,,,
Uber,marina beach,pallavaram,154,1,Auto,,,,
Uber,marina beach,pallavaram,123,2,bike,,,,
Uber,marina beach,pallavaram,184,5,Uber Go ,,,,
Uber,marina beach,pallavaram,321,8, Uber XL,,,,
Rapido,marina beach,pallavaram,159,1,Auto,,,,
Rapido,marina beach,pallavaram,100,2,Bike,,,,
Rapido,marina beach,pallavaram,264,3,cab,,,,
ola,kotturpuram,velachery,128,1,Auto,,,,
ola,kotturpuram,velachery,129,2,bike,,,,
ola,kotturpuram,velachery,224,1,Mini,,,,
ola,kotturpuram,velachery,284,6,Prime sedan,,,,
Uber,kotturpuram,velachery,104,1,Auto,,,,
Uber,kotturpuram,velachery,87,2,bike,,,,
Uber,kotturpuram,velachery,126,6,Uber Go ,,,,
Uber,kotturpuram,velachery,220,8, Uber XL,,,,
Rapido,kotturpuram,velachery,89,5,Auto,,,,
Rapido,kotturpuram,velachery,64,2,Bike,,,,
Rapido,kotturpuram,velachery,157,1,cab,,,,
ola,chennai central,sholinganallur,232,2,Auto,,,,
ola,chennai central,sholinganallur,184,3,bike,,,,
ola,chennai central,sholinganallur,342,1,Mini,,,,
ola,chennai central,sholinganallur,421,5,Prime sedan,,,,
Uber,chennai central,sholinganallur,182,2,Auto,,,,
Uber,chennai central,sholinganallur,152,1,bike,,,,
Uber,chennai central,sholinganallur,213,4,Uber Go ,,,,
Uber,chennai central,sholinganallur,354,6, Uber XL,,,,
Rapido,chennai central,sholinganallur,154,1,Auto,,,,
Rapido,chennai central,sholinganallur,123,1,Bike,,,,
Rapido,chennai central,sholinganallur,342,3,cab,,,,
ola,mylapore temple,nandanam,112,1,Auto,,,,
ola,mylapore temple,nandanam,89,2,bike,,,,
ola,mylapore temple,nandanam,234,5,Mini,,,,
ola,mylapore temple,nandanam,258,6,Prime sedan,,,,
Uber,mylapore temple,nandanam,89,1,Auto,,,,
Uber,mylapore temple,nandanam,61,2,bike,,,,
Uber,mylapore temple,nandanam,218,1,Uber Go ,,,,
Uber,mylapore temple,nandanam,268,3, Uber XL,,,,
Rapido,mylapore temple,nandanam,64,2,Auto,,,,
Rapido,mylapore temple,nandanam,52,1,Bike,,,,
Rapido,mylapore temple,nandanam,123,2,cab,,,,
ola,egmore,st.thomas mount,163,1,Auto,,,,
ola,egmore,st.thomas mount,129,1,bike,,,,
ola,egmore,st.thomas mount,259,3,Mini,,,,
ola,egmore,st.thomas mount,326,5,Prime sedan,,,,
Uber,egmore,st.thomas mount,134,2,Auto,,,,
Uber,egmore,st.thomas mount,102,1,bike,,,,
Uber,egmore,st.thomas mount,268,6,Uber Go ,,,,
Uber,egmore,st.thomas mount,294,7, Uber XL,,,,
Rapido,egmore,st.thomas mount,103,1,Auto,,,,
Rapido,egmore,st.thomas mount,84,1,Bike,,,,
Rapido,egmore,st.thomas mount,234,3,cab,,,,
ola,teynampet,medavakkam,187,1,Auto,,,,
ola,teynampet,medavakkam,158,2,bike,,,,
ola,teynampet,medavakkam,359,1,Mini,,,,
ola,teynampet,medavakkam,387,4,Prime sedan,,,,
Uber,teynampet,medavakkam,154,1,Auto,,,,
Uber,teynampet,medavakkam,129,2,bike,,,,
Uber,teynampet,medavakkam,187,3,Uber Go ,,,,
Uber,teynampet,medavakkam,198,2, Uber XL,,,,
Rapido,teynampet,medavakkam,103,1,Auto,,,,
Rapido,teynampet,medavakkam,100,2,Bike,,,,
Rapido,teynampet,medavakkam,251,5,cab,,,,
ola,triplicane,saidapet,125,2,Auto,,,,
ola,triplicane,saidapet,103,1,bike,,,,
ola,triplicane,saidapet,224,3,Mini,,,,
ola,triplicane,saidapet,113,2,Prime sedan,,,,
Uber,triplicane,saidapet,102,1,Auto,,,,
Uber,triplicane,saidapet,132,2,bike,,,,
Uber,triplicane,saidapet,257,5,Uber Go ,,,,
Uber,triplicane,saidapet,280,8, Uber XL,,,,
Rapido,triplicane,saidapet,94,1,Auto,,,,
Rapido,triplicane,saidapet,67,2,Bike,,,,
Rapido,triplicane,saidapet,157,3,cab,,,,
ola,chetpet,ekkatuthangal,168,1,Auto,,,,
ola,chetpet,ekkatuthangal,129,2,bike,,,,
ola,chetpet,ekkatuthangal,257,1,Mini,,,,
ola,chetpet,ekkatuthangal,312,6,Prime sedan,,,,
Uber,chetpet,ekkatuthangal,159,1,Auto,,,,
Uber,chetpet,ekkatuthangal,102,2,bike,,,,
Uber,chetpet,ekkatuthangal,168,6,Uber Go ,,,,
Uber,chetpet,ekkatuthangal,268,8, Uber XL,,,,
Rapido,chetpet,ekkatuthangal,106,5,Auto,,,,
Rapido,chetpet,ekkatuthangal,85,2,Bike,,,,
Rapido,chetpet,ekkatuthangal,229,1,cab,,,,
ola,royapettah,tambaram east,213,2,Auto,,,,
ola,royapettah,tambaram east,186,3,bike,,,,
ola,royapettah,tambaram east,358,1,Mini,,,,
ola,royapettah,tambaram east,412,5,Prime sedan,,,,
Uber,royapettah,tambaram east,185,2,Auto,,,,
Uber,royapettah,tambaram east,167,1,bike,,,,
Uber,royapettah,tambaram east,189,4,Uber Go ,,,,
Uber,royapettah,tambaram east,354,6, Uber XL,,,,
Rapido,royapettah,tambaram east,158,1,Auto,,,,
Rapido,royapettah,tambaram east,124,1,Bike,,,,
Rapido,royapettah,tambaram east,341,3,cab,,,,
ola,chennai central,pallikaranai,251,1,Auto,,,,
ola,chennai central,pallikaranai,220,2,bike,,,,
ola,chennai central,pallikaranai,406,5,Mini,,,,
ola,chennai central,pallikaranai,452,6,Prime sedan,,,,
Uber,chennai central,pallikaranai,220,1,Auto,,,,
Uber,chennai central,pallikaranai,185,2,bike,,,,
Uber,chennai central,pallikaranai,209,1,Uber Go ,,,,
Uber,chennai central,pallikaranai,425,3, Uber XL,,,,
Rapido,chennai central,pallikaranai,182,2,Auto,,,,
Rapido,chennai central,pallikaranai,152,1,Bike,,,,
Rapido,chennai central,pallikaranai,354,2,cab,,,,
ola,thiruvanmiyur,prungalathur,135,1,Auto,,,,
ola,thiruvanmiyur,prungalathur,100,1,bike,,,,
ola,thiruvanmiyur,prungalathur,228,3,Mini,,,,
ola,thiruvanmiyur,prungalathur,287,5,Prime sedan,,,,
Uber,thiruvanmiyur,prungalathur,106,2,Auto,,,,
Uber,thiruvanmiyur,prungalathur,85,1,bike,,,,
Uber,thiruvanmiyur,prungalathur,153,6,Uber Go ,,,,
Uber,thiruvanmiyur,prungalathur,224,7, Uber XL,,,,
Rapido,thiruvanmiyur,prungalathur,454,1,Auto,,,,
Rapido,thiruvanmiyur,prungalathur,334,1,Bike,,,,
Rapido,thiruvanmiyur,prungalathur,638,3,cab,,,,
ola,egmore museum,madipakkam,154,1,Auto,,,,
ola,egmore museum,madipakkam,129,2,bike,,,,
ola,egmore museum,madipakkam,254,1,Mini,,,,
ola,egmore museum,madipakkam,302,4,Prime sedan,,,,
Uber,egmore museum,madipakkam,128,1,Auto,,,,
Uber,egmore museum,madipakkam,103,2,bike,,,,
Uber,egmore museum,madipakkam,186,3,Uber Go ,,,,
Uber,egmore museum,madipakkam,254,2, Uber XL,,,,
Rapido,egmore museum,madipakkam,323,1,Auto,,,,
Rapido,egmore museum,madipakkam,192,2,Bike,,,,
Rapido,egmore museum,madipakkam,478,5,cab,,,,
ola,anna nagar,ambattur station,84,2,Auto,,,,
ola,anna nagar,ambattur station,74,1,bike,,,,
ola,anna nagar,ambattur station,164,3,Mini,,,,
ola,anna nagar,ambattur station,208,2,Prime sedan,,,,
Uber,anna nagar,ambattur station,84,1,Auto,,,,
Uber,anna nagar,ambattur station,62,2,bike,,,,
Uber,anna nagar,ambattur station,127,5,Uber Go ,,,,
Uber,anna nagar,ambattur station,206,8, Uber XL,,,,
Rapido,anna nagar,ambattur station,192,1,Auto,,,,
Rapido,anna nagar,ambattur station,87,2,Bike,,,,
Rapido,anna nagar,ambattur station,235,3,cab,,,,
ola,nungambakkam,kotturpuram,104,1,Auto,,,,
ola,nungambakkam,kotturpuram,94,2,bike,,,,
ola,nungambakkam,kotturpuram,212,1,Mini,,,,
ola,nungambakkam,kotturpuram,258,6,Prime sedan,,,,
Uber,nungambakkam,kotturpuram,104,1,Auto,,,,
Uber,nungambakkam,kotturpuram,85,2,bike,,,,
Uber,nungambakkam,kotturpuram,145,6,Uber Go ,,,,
Uber,nungambakkam,kotturpuram,232,8, Uber XL,,,,
Rapido,nungambakkam,kotturpuram,206,5,Auto,,,,
Rapido,nungambakkam,kotturpuram,76,2,Bike,,,,
Rapido,nungambakkam,kotturpuram,190,1,cab,,,,
ola,vadapalani,velachery,124,2,Auto,,,,
ola,vadapalani,velachery,106,3,bike,,,,
ola,vadapalani,velachery,232,1,Mini,,,,
ola,vadapalani,velachery,298,5,Prime sedan,,,,
Uber,vadapalani,velachery,120,2,Auto,,,,
Uber,vadapalani,velachery,101,1,bike,,,,
Uber,vadapalani,velachery,178,4,Uber Go ,,,,
Uber,vadapalani,velachery,261,6, Uber XL,,,,
Rapido,vadapalani,velachery,194,1,Auto,,,,
Rapido,vadapalani,velachery,89,1,Bike,,,,
Rapido,vadapalani,velachery,308,3,cab,,,,
ola,egmore,koyambedu,113,1,Auto,,,,
ola,egmore,koyambedu,92,2,bike,,,,
ola,egmore,koyambedu,208,5,Mini,,,,
ola,egmore,koyambedu,245,6,Prime sedan,,,,
Uber,egmore,koyambedu,106,1,Auto,,,,
Uber,egmore,koyambedu,84,2,bike,,,,
Uber,egmore,koyambedu,153,1,Uber Go ,,,,
Uber,egmore,koyambedu,223,3, Uber XL,,,,
Rapido,egmore,koyambedu,171,2,Auto,,,,
Rapido,egmore,koyambedu,77,1,Bike,,,,
Rapido,egmore,koyambedu,214,2,cab,,,,
ola,thousand lights mosque,porur,165,1,Auto,,,,
ola,thousand lights mosque,porur,123,1,bike,,,,
ola,thousand lights mosque,porur,264,3,Mini,,,,
ola,thousand lights mosque,porur,312,5,Prime sedan,,,,
Uber,thousand lights mosque,porur,152,2,Auto,,,,
Uber,thousand lights mosque,porur,132,1,bike,,,,
Uber,thousand lights mosque,porur,208,6,Uber Go ,,,,
Uber,thousand lights mosque,porur,311,7, Uber XL,,,,
Rapido,thousand lights mosque,porur,214,1,Auto,,,,
Rapido,thousand lights mosque,porur,166,1,Bike,,,,
Rapido,thousand lights mosque,porur,346,3,cab,,,,
ola,parrys corner,saidapet,135,1,Auto,,,,
ola,parrys corner,saidapet,106,2,bike,,,,
ola,parrys corner,saidapet,135,1,Mini,,,,
ola,parrys corner,saidapet,274,4,Prime sedan,,,,
Uber,parrys corner,saidapet,122,1,Auto,,,,
Uber,parrys corner,saidapet,109,2,bike,,,,
Uber,parrys corner,saidapet,177,3,Uber Go ,,,,
Uber,parrys corner,saidapet,260,2, Uber XL,,,,
Rapido,parrys corner,saidapet,225,1,Auto,,,,
Rapido,parrys corner,saidapet,121,2,Bike,,,,
Rapido,parrys corner,saidapet,310,5,cab,,,,
ola,thiruvallikeni,ashok nagar,108,2,Auto,,,,
ola,thiruvallikeni,ashok nagar,94,1,bike,,,,
ola,thiruvallikeni,ashok nagar,208,3,Mini,,,,
ola,thiruvallikeni,ashok nagar,265,2,Prime sedan,,,,
Uber,thiruvallikeni,ashok nagar,109,1,Auto,,,,
Uber,thiruvallikeni,ashok nagar,80,2,bike,,,,
Uber,thiruvallikeni,ashok nagar,231,5,Uber Go ,,,,
Uber,thiruvallikeni,ashok nagar,247,8, Uber XL,,,,
Rapido,thiruvallikeni,ashok nagar,197,1,Auto,,,,
Rapido,thiruvallikeni,ashok nagar,80,2,Bike,,,,
Rapido,thiruvallikeni,ashok nagar,220,3,cab,,,,
ola,T.nagar bus stop,thoraipakkam,164,1,Auto,,,,
ola,T.nagar bus stop,thoraipakkam,123,2,bike,,,,
ola,T.nagar bus stop,thoraipakkam,265,1,Mini,,,,
ola,T.nagar bus stop,thoraipakkam,318,6,Prime sedan,,,,
Uber,T.nagar bus stop,thoraipakkam,80,1,Auto,,,,
Uber,T.nagar bus stop,thoraipakkam,62,2,bike,,,,
Uber,T.nagar bus stop,thoraipakkam,128,6,Uber Go ,,,,
Uber,T.nagar bus stop,thoraipakkam,321,8, Uber XL,,,,
Rapido,T.nagar bus stop,thoraipakkam,298,5,Auto,,,,
Rapido,T.nagar bus stop,thoraipakkam,188,2,Bike,,,,
Rapido,T.nagar bus stop,thoraipakkam,379,1,cab,,,,
ola,adyar,anna salai,94,2,Auto,,,,
ola,adyar,anna salai,74,3,bike,,,,
ola,adyar,anna salai,159,1,Mini,,,,
ola,adyar,anna salai,208,5,Prime sedan,,,,
Uber,adyar,anna salai,85,2,Auto,,,,
Uber,adyar,anna salai,61,1,bike,,,,
Uber,adyar,anna salai,130,4,Uber Go ,,,,
Uber,adyar,anna salai,213,6, Uber XL,,,,
Rapido,adyar,anna salai,168,1,Auto,,,,
Rapido,adyar,anna salai,91,1,Bike,,,,
Rapido,adyar,anna salai,241,3,cab,,,,
ola,marina beach,medavakkam,184,1,Auto,,,,
ola,marina beach,medavakkam,159,2,bike,,,,
ola,marina beach,medavakkam,308,5,Mini,,,,
ola,marina beach,medavakkam,364,6,Prime sedan,,,,
Uber,marina beach,medavakkam,187,1,Auto,,,,
Uber,marina beach,medavakkam,153,2,bike,,,,
Uber,marina beach,medavakkam,254,1,Uber Go ,,,,
Uber,marina beach,medavakkam,351,3, Uber XL,,,,
Rapido,marina beach,medavakkam,306,2,Auto,,,,
Rapido,marina beach,medavakkam,247,1,Bike,,,,
Rapido,marina beach,medavakkam,454,2,cab,,,,
ola,guindy national park,nandanam,138,1,Auto,,,,
ola,guindy national park,nandanam,109,1,bike,,,,
ola,guindy national park,nandanam,238,3,Mini,,,,
ola,guindy national park,nandanam,296,5,Prime sedan,,,,
Uber,guindy national park,nandanam,120,2,Auto,,,,
Uber,guindy national park,nandanam,100,1,bike,,,,
Uber,guindy national park,nandanam,184,6,Uber Go ,,,,
Uber,guindy national park,nandanam,259,7, Uber XL,,,,
Rapido,guindy national park,nandanam,143,1,Auto,,,,
Rapido,guindy national park,nandanam,51,1,Bike,,,,
Rapido,guindy national park,nandanam,150,3,cab,,,,
ola,saidapet court,st.thomas mount,115,1,Auto,,,,
ola,saidapet court,st.thomas mount,94,2,bike,,,,
ola,saidapet court,st.thomas mount,207,1,Mini,,,,
ola,saidapet court,st.thomas mount,259,4,Prime sedan,,,,
Uber,saidapet court,st.thomas mount,102,1,Auto,,,,
Uber,saidapet court,st.thomas mount,82,2,bike,,,,
Uber,saidapet court,st.thomas mount,145,3,Uber Go ,,,,
Uber,saidapet court,st.thomas mount,220,2, Uber XL,,,,
Rapido,saidapet court,st.thomas mount,150,1,Auto,,,,
Rapido,saidapet court,st.thomas mount,57,2,Bike,,,,
Rapido,saidapet court,st.thomas mount,152,5,cab,,,,
ola,mylapore temple,tambaram east,165,2,Auto,,,,
ola,mylapore temple,tambaram east,124,1,bike,,,,
ola,mylapore temple,tambaram east,259,3,Mini,,,,
ola,mylapore temple,tambaram east,307,2,Prime sedan,,,,
Uber,mylapore temple,tambaram east,154,1,Auto,,,,
Uber,mylapore temple,tambaram east,121,2,bike,,,,
Uber,mylapore temple,tambaram east,200,5,Uber Go ,,,,
Uber,mylapore temple,tambaram east,311,8, Uber XL,,,,
Rapido,mylapore temple,tambaram east,351,1,Auto,,,,
Rapido,mylapore temple,tambaram east,301,2,Bike,,,,
Rapido,mylapore temple,tambaram east,603,3,cab,,,,
ola,pallavaram,chennai park,165,1,Auto,,,,
ola,pallavaram,chennai park,135,2,bike,,,,
ola,pallavaram,chennai park,259,1,Mini,,,,
ola,pallavaram,chennai park,325,6,Prime sedan,,,,
Uber,pallavaram,chennai park,122,1,Auto,,,,
Uber,pallavaram,chennai park,110,2,bike,,,,
